地点,latitude,longitude,活动,门票价格,时间
成都IFS,104.081635,30.654876,繁华市中心购物中心,,
S434,101.8737,30.262053,折多山另一侧风光，宝藏机位拍贡嘎和雅拉。,,
八郎生都村,101.460161,30.328119,被称为甘孜秘境，也被誉为是“离天空最近的牧场’。小众，离天空最近的牧场，可以看到贡嘎雅拉，传统游牧部落.是一个宁静优美原始传统的游牧部落。这里能360°观看贡嘎雪山、雅拉雪山，在阳光照耀下显得格外巍峨，抬头远望，山顶峰壁干仞，常年白雪皑皑，像披雪的牛背般直拱蓝天。八郎生都/鱼子西二选一，视开放情况而定 （备注：鱼子西和八郎生都为户外地，经常会因为当地政策、路况、天气等原因关闭。）八朗生都或鱼子西第四天或者第五天前往，根据路上时间灵活协调。,,
八美镇,101.484205,30.482997,参加龙灯草原赛马节，舞蹈、佛教祈祷和唱歌,,7月才有赛马节，为期两天
巴朗山,102.901099,30.93466,"网红巴郎山隧道,开车翻阅，不是一个细玩景点，高山垂直植物带分布",,
巴旺海,101.844098,29.464932,八望冰川，贡嘎雪山融化的水,,
白塔寺密宗四部坛城,103.590857,30.667982,绚烂辉煌，最高水准的藏传佛教艺术，又叫白塔公园,,
邦普寺,100.102839,29.217887,海子山山脚下，掩映于森林，噶举派白教，探索活佛转世起源，古老而清净的。平时因为僧人们喂养，也有很多肥肥的藏马鸡前来觅食。寺中最重要的都松钦巴金殿里的壁画，值得细细品味，因为壁画故事里，隐藏了活佛转世起源的秘密,,
毕棚沟,102.994424,31.38062,"这里是上帝的调色盘，雪山下的彩林、波光粼粼的湖泊都是值得你来的理由。磐羊湖至燕子岩窝下行路段适合徒步，需要2-2.5小时，沿途的小景点和溪流很漂亮。
网上很多美图出自于磐羊湖，有山有水有森林。燕子岩窝四面雪山环绕，拍照绝美。",,
碧峰峡熊猫基地,102.990758,30.068273,看大熊猫,,
藏羌非遗博物馆,103.820473,33.305132,可以请本地人讲解，亲自说文化，手把手制造藏香藏纸。前往參加手工藏香制作：傳統的藏香制作技藝采用幾十種香料，制作時先把柏樹干鋸成若干小段去皮，再磨成柏樹木泥，和各種香料一起搓揉然后把混合各種香料的柏樹木泥放人牛角内壓擠成型，再經過兩到三天的晾曬，即制成藏香。現場制作藏香后，工作人員會協助完成藏香的晾曬并在藏香晾干后，將藏香郵寄到家中。,,
叉子沟小金县,102.851124,31.193176,夏天很美，野花遍地,,
叉子沟尾垭口,104.406826,30.556641,云海像柔软的棉絮铺满崇山峻岭之间除了风声，安静的只听得自己的心跳…,,
茶馆,104.058603,30.656882,功夫茶表演,,春秋
昌列寺,102.161065,31.907763,世界最大的莲师坐像,,
长坪沟,102.859271,31.012171,古代驿路。茫茫林海里穿梭蔓延,,
长青春科尔寺,100.274224,30.001317,,,
成都博物馆,104.063749,30.657297,提前七天预约，成都悠久历史和深厚文化,,
成都菜市场,104.058289,30.57594,在本地人的带领下学习辨认食材，川菜知识，苍蝇馆子，喝白酒,,
成都川菜博物馆,103.930192,30.895112,体验清朝古法“川菜之魂”酿制工艺，感受传统中坝手工酱油的制作流程和工艺，并亲身体会打酱油的乐趣！，灶王祠祭祀畅游老川菜馆一条街，亲临传统工艺制作现场，使用清代石碓窝舂制辣椒面，手作石磨豆花，现场品尝亲制美味。竹椅、矮桌、盖碗茶，吃花生、嗑瓜子、打麻将，在“坝坝茶”中找回真正的川西市井生活味道。园区内二十余种经典小吃无限量供应；换上专业厨师服，名厨指导亲手制作美味川菜（大约3.5小时体验时间）；提供独立私密包间，使用千年巴西花梨木餐桌就餐；畅饮鲜榨果汁、祖传秘方药膳酒，红酒、泡酒、啤酒免费续杯，更有机会获得当日菜品制作秘方。 成都烹饪课程。学习烹饪，茶文化，盖碗茶，3-4h。参与大师班教做菜，有不同层次,,
成都大熊猫基地,104.138176,30.740573,离市区近，看大熊猫但是人比较多。成都大熊猫繁育研究基地内位于成都市北郊，内有200多只萌态各异、不同年龄段的的大熊猫，由于熊猫喜冷不喜热，建议尽早前往游览，尤其在夏季。,,
成都动物园,104.106009,30.710131,可以看到老虎、狮子、金丝猴、长颈鹿，丹顶鹤、大象等动物，较受欢迎的区域是熊猫馆,,
成都中心茶馆,104.066382,30.656167,品茶,,
川剧变脸餐厅/剧院,104.06673,30.657802,看川剧变脸,,春秋
川剧表演《芙蓉国粹》或《蜀风雅韵》,104.068574,30.651757,"涵盖三国文化和巴蜀民间绝技绝活:川剧、变脸、吐火、木偶、茶艺、滚灯等，为蜀文化一绝
绝迹多年的手影戏，重返民间，鼓乐齐鸣荡气回肠，喜乐无限",,
川主寺镇,103.619922,32.777372,有好酒店,,
春熙路,104.077774,30.655544,繁华市中心购物中心,,
达古冰川,104.040581,30.656402,山顶海拔约4860米，请不要剧烈运动，景区内咖啡厅有大型天然氧吧，如有不适应可以进氧吧休息。4860M观景台是绝佳的视角活动不的气晴朗时，可俯瞰群山、拍摄云雾缭绕的大片。,,
金猴湖+达古湖,103.809787,30.396978,,,
泽桑拉空中花园甘孜,101.652357,29.809605,野花遍地的草甸，近距离看贡嘎雪山，面对着雪山野餐，敬众神,,
大慈寺成都,104.083791,30.654243,天井茶园,,
大渡河谷雅安,102.976672,29.303743,,,
大熊猫国家公园,103.67909,31.147638,进入大熊猫国家森林公园，在巡护科研院带领下进入山野林间就正式进入大熊猫的领地，这里竹子茂盛，林木高大遮天蔽日的阴影下，是大熊猫舒适的环境慢行徒步2公里左右，有幸我们也能遇上可爱的他们。在都江堰,,
都江堰熊猫基地,103.572591,30.862059,志愿者计划近距离接触大熊猫，可能可以喂,,春秋
大邑云中屋,103.40309,30.640399,徒步,,
丹巴,101.89054,30.878618,参观华丽而传统的嘉绒藏族石寨，传说的女儿国，体验当地装作服饰，女儿成人礼体验，有不错的民宿。中路藏寨（嘉绒欢迎仪式｜金花带爬碉楼｜嘉绒藏寨夜话），哈达，青稞酒，祝酒歌。千碉之国。金花带着逛碉楼。住宿不错。村里转白塔祈福，白塔可以看丹巴全景。,,
丹巴梭坡藏寨,101.935666,30.849093,隐藏在世间,,
党岭,101.406818,31.074966,"徒步到风景秀丽的高原湖泊加依拉措 1.5h,州内暂未被开发的海子之一，原始古朴。去这里的公路只能到达村上，继续前行还要骑马，或者步行一个半小时才能到达目的地甲依拉措。",,
甲依拉措甘孜,101.340582,31.062096,,,
稻城亚丁甘孜,100.286793,28.458898,本普寺佛教，藏族家庭摆放，小镇日瓦三座灵山，洛绒牛场骑马前往鲜为人知的蛙湖，牛奶湖五色海藏族老师的家中学习藏书艺术，传统藏族小吃油茶,门票旺季146元/人;淡季120元/人(必须消费)观光车120元/人(往返、必须消费)长线电瓶车费用单程50元/人;往返80元/人(自愿消费)长线骑马费用300-500元/人(自愿消费),春秋
道孚民居,101.12925,30.97473,参观藏式建筑，探访村里最传统的民居之一，听主人讲述这种建筑风格的历史和艺术细节。康巴第一藏房，可以安排欢迎仪式，有四钻酒店,,
叠溪海子,103.681756,32.044279,地震后形成的海子,,
顶果山,101.762095,30.602591,顶果山位于大雪山山脉的北端，这里四面环山，有萶浓郁的民族风情和宗教色彩，中心有一山突起，上面是美丽的草甸，草甸四周又是各种湿带丛林环绕，风景十分优美。在草甸的尽头有一座古朴的苯教寺庙一—拥忠彭错铃，路边飘扬着彩幅，寺庙前还有一个美丽的海子， 天朗气清的时候，蓝天白云倒映在水中，使人仿佛置身于仙境。,,
都江堰大坝,103.580391,31.036524,参观世界上最古老的灌溉系统，水利工程，附近有好酒店,,春秋
杜甫草堂,104.028507,30.660161,,,
峨眉山,103.339087,29.5472,"欣赏雄伟的金色寺庙，自然与信仰，有好酒店。乘坐观光车（约1.5-2小时）抵达雷洞坪-步行约1.5公里至接引殿（海拔2540米）-乘坐索道抵达峨眉山最高点金顶（海拔3377米），游玩后原路返回。全程大概6-8个小时；报国寺，伏虎寺，金顶游览需要额外交钱。1.酒店位于峨眉山海拔 3079 米的金顶，若患有心脏病、高血压、身体不适的年长年幼客人,不宜在高山区入住。2.到达酒店需在报国寺客运中心乘坐景区班车到达雷洞坪，然后步行 1.5 公里到达接引殿后坐缆车抵达金顶。因需要爬山，若您选择入住金顶景区，请仅携带必要物品上山，轻装上阵，大件行李请放置车内。3.金顶索道运行时间段7:00-17:30,为保证您能坐上缆车到山顶，请您务必在旺季12点（淡季14点）前在报国景区坐上旅游观光车；",,
